agency_cd,site_no,datetime,tz_cd,stage_ft,151780_00065_cd
USGS,12451000,2021-11-12 14:45:00,PST,21.66,A
USGS,12451000,2021-11-12 15:00:00,PST,21.67,A
USGS,12451000,2021-11-12 15:15:00,PST,21.7,A
USGS,12451000,2021-11-12 15:30:00,PST,21.74,A
USGS,12451000,2021-11-12 15:45:00,PST,21.78,A
USGS,12451000,2021-11-12 16:00:00,PST,21.86,A
USGS,12451000,2021-11-12 16:15:00,PST,21.88,A
USGS,12451000,2021-11-12 16:30:00,PST,21.86,A
USGS,12451000,2021-11-12 16:45:00,PST,21.91,A
USGS,12451000,2021-11-12 17:00:00,PST,21.91,A
USGS,12451000,2021-11-12 17:15:00,PST,21.94,A
USGS,12451000,2021-11-12 17:30:00,PST,21.9,A
USGS,12451000,2021-11-12 17:45:00,PST,21.91,A
USGS,12451000,2021-11-12 18:00:00,PST,21.94,A
USGS,12451000,2021-11-12 18:15:00,PST,21.94,A
USGS,12451000,2021-11-12 18:30:00,PST,21.96,A
USGS,12451000,2021-11-12 18:45:00,PST,21.96,A
USGS,12451000,2021-11-12 19:00:00,PST,21.89,A
USGS,12451000,2021-11-12 19:15:00,PST,21.85,A
USGS,12451000,2021-11-12 19:30:00,PST,21.87,A
USGS,12451000,2021-11-12 19:45:00,PST,21.77,A
USGS,12451000,2021-11-12 20:00:00,PST,21.81,A
USGS,12451000,2021-11-12 20:15:00,PST,21.81,A
USGS,12451000,2021-11-12 20:30:00,PST,21.75,A
USGS,12451000,2021-11-12 20:45:00,PST,21.73,A
USGS,12451000,2021-11-12 21:00:00,PST,21.68,A
USGS,12451000,2021-11-12 21:15:00,PST,21.64,A
USGS,12451000,2021-11-12 21:30:00,PST,21.66,A
USGS,12451000,2021-11-12 21:45:00,PST,21.64,A
USGS,12451000,2021-11-12 22:00:00,PST,21.57,A
USGS,12451000,2021-11-12 22:15:00,PST,21.57,A
USGS,12451000,2021-11-12 22:30:00,PST,21.56,A
USGS,12451000,2021-11-12 22:45:00,PST,21.52,A
USGS,12451000,2021-11-12 23:00:00,PST,21.49,A
USGS,12451000,2021-11-12 23:15:00,PST,21.47,A
USGS,12451000,2021-11-12 23:30:00,PST,21.49,A
USGS,12451000,2021-11-12 23:45:00,PST,21.46,A
USGS,12451000,2021-11-13 00:00:00,PST,21.49,A
USGS,12451000,2021-11-13 00:15:00,PST,21.43,A
USGS,12451000,2021-11-13 00:30:00,PST,21.42,A
USGS,12451000,2021-11-13 00:45:00,PST,21.43,A
USGS,12451000,2021-11-13 01:00:00,PST,21.4,A
USGS,12451000,2021-11-13 01:15:00,PST,21.42,A
USGS,12451000,2021-11-13 01:30:00,PST,21.38,A
USGS,12451000,2021-11-13 01:45:00,PST,21.38,A
USGS,12451000,2021-11-13 02:00:00,PST,21.42,A
USGS,12451000,2021-11-13 02:15:00,PST,21.38,A
USGS,12451000,2021-11-13 02:30:00,PST,21.34,A
USGS,12451000,2021-11-13 02:45:00,PST,21.33,A
USGS,12451000,2021-11-13 03:00:00,PST,21.29,A
USGS,12451000,2021-11-13 03:15:00,PST,21.26,A
USGS,12451000,2021-11-13 03:30:00,PST,21.26,A
USGS,12451000,2021-11-13 03:45:00,PST,21.19,A
USGS,12451000,2021-11-13 04:00:00,PST,21.22,A
USGS,12451000,2021-11-13 04:15:00,PST,21.25,A
USGS,12451000,2021-11-13 04:30:00,PST,21.13,A
USGS,12451000,2021-11-13 04:45:00,PST,21.11,A
USGS,12451000,2021-11-13 05:00:00,PST,21.11,A
USGS,12451000,2021-11-13 05:15:00,PST,21.15,A
USGS,12451000,2021-11-13 05:30:00,PST,21.19,A
USGS,12451000,2021-11-13 05:45:00,PST,21.16,A
USGS,12451000,2021-11-13 06:00:00,PST,21.15,A
USGS,12451000,2021-11-13 06:15:00,PST,21.13,A
USGS,12451000,2021-11-13 06:30:00,PST,21.13,A
USGS,12451000,2021-11-13 06:45:00,PST,21.12,A
USGS,12451000,2021-11-13 07:00:00,PST,21.09,A
USGS,12451000,2021-11-13 07:15:00,PST,21.13,A
USGS,12451000,2021-11-13 07:30:00,PST,21.06,A
USGS,12451000,2021-11-13 07:45:00,PST,21.0,A
USGS,12451000,2021-11-13 08:00:00,PST,21.09,A
USGS,12451000,2021-11-13 08:15:00,PST,21.03,A
USGS,12451000,2021-11-13 08:30:00,PST,21.05,A
USGS,12451000,2021-11-13 08:45:00,PST,21.03,A
USGS,12451000,2021-11-13 09:00:00,PST,21.02,A
USGS,12451000,2021-11-13 09:15:00,PST,21.03,A
USGS,12451000,2021-11-13 09:30:00,PST,21.02,A
USGS,12451000,2021-11-13 09:45:00,PST,20.98,A
USGS,12451000,2021-11-13 10:00:00,PST,21.01,A
USGS,12451000,2021-11-13 10:15:00,PST,20.95,A
USGS,12451000,2021-11-13 10:30:00,PST,21.0,A
USGS,12451000,2021-11-13 10:45:00,PST,21.01,A
USGS,12451000,2021-11-13 11:00:00,PST,20.97,A
USGS,12451000,2021-11-13 11:15:00,PST,20.97,A
USGS,12451000,2021-11-13 11:30:00,PST,20.89,A
USGS,12451000,2021-11-13 11:45:00,PST,20.89,A
USGS,12451000,2021-11-13 12:00:00,PST,20.89,A
USGS,12451000,2021-11-13 12:15:00,PST,20.89,A
USGS,12451000,2021-11-13 12:30:00,PST,20.89,A
USGS,12451000,2021-11-13 12:45:00,PST,20.92,A
USGS,12451000,2021-11-13 13:00:00,PST,20.9,A
USGS,12451000,2021-11-13 13:15:00,PST,20.9,A
USGS,12451000,2021-11-13 13:30:00,PST,20.87,A
USGS,12451000,2021-11-13 13:45:00,PST,20.87,A
USGS,12451000,2021-11-13 14:00:00,PST,20.86,A
USGS,12451000,2021-11-13 14:15:00,PST,20.83,A
USGS,12451000,2021-11-13 14:30:00,PST,20.87,A
USGS,12451000,2021-11-13 14:45:00,PST,20.91,A
USGS,12451000,2021-11-13 15:00:00,PST,20.89,A
USGS,12451000,2021-11-13 15:15:00,PST,20.84,A
USGS,12451000,2021-11-13 15:30:00,PST,20.85,A
USGS,12451000,2021-11-13 15:45:00,PST,20.83,A
USGS,12451000,2021-11-13 16:00:00,PST,20.84,A
USGS,12451000,2021-11-13 16:15:00,PST,20.91,A
USGS,12451000,2021-11-13 16:30:00,PST,20.85,A
USGS,12451000,2021-11-13 16:45:00,PST,20.82,A
USGS,12451000,2021-11-13 17:00:00,PST,20.83,A
USGS,12451000,2021-11-13 17:15:00,PST,20.88,A
USGS,12451000,2021-11-13 17:30:00,PST,20.8,A
USGS,12451000,2021-11-13 17:45:00,PST,20.86,A
USGS,12451000,2021-11-13 18:00:00,PST,20.87,A
USGS,12451000,2021-11-13 18:15:00,PST,20.86,A
USGS,12451000,2021-11-13 18:30:00,PST,20.83,A
USGS,12451000,2021-11-13 18:45:00,PST,20.86,A
USGS,12451000,2021-11-13 19:00:00,PST,20.86,A
USGS,12451000,2021-11-13 19:15:00,PST,20.86,A
USGS,12451000,2021-11-13 19:30:00,PST,20.87,A
USGS,12451000,2021-11-13 19:45:00,PST,20.85,A
USGS,12451000,2021-11-13 20:00:00,PST,20.92,A
USGS,12451000,2021-11-13 20:15:00,PST,20.89,A
USGS,12451000,2021-11-13 20:30:00,PST,20.82,A
USGS,12451000,2021-11-13 20:45:00,PST,20.84,A
USGS,12451000,2021-11-13 21:00:00,PST,20.88,A
USGS,12451000,2021-11-13 21:15:00,PST,20.78,A
USGS,12451000,2021-11-13 21:30:00,PST,20.85,A
USGS,12451000,2021-11-13 21:45:00,PST,20.87,A
USGS,12451000,2021-11-13 22:00:00,PST,20.84,A
USGS,12451000,2021-11-13 22:15:00,PST,20.79,A
USGS,12451000,2021-11-13 22:30:00,PST,20.9,A
USGS,12451000,2021-11-13 22:45:00,PST,20.86,A
USGS,12451000,2021-11-13 23:00:00,PST,20.83,A
USGS,12451000,2021-11-13 23:15:00,PST,20.83,A
USGS,12451000,2021-11-13 23:30:00,PST,20.83,A
USGS,12451000,2021-11-13 23:45:00,PST,20.87,A
USGS,12451000,2021-11-14 00:00:00,PST,20.82,A
USGS,12451000,2021-11-14 00:15:00,PST,20.8,A
USGS,12451000,2021-11-14 00:30:00,PST,20.78,A
USGS,12451000,2021-11-14 00:45:00,PST,20.78,A
USGS,12451000,2021-11-14 01:00:00,PST,20.82,A
USGS,12451000,2021-11-14 01:15:00,PST,20.86,A
USGS,12451000,2021-11-14 01:30:00,PST,20.84,A
USGS,12451000,2021-11-14 01:45:00,PST,20.8,A
USGS,12451000,2021-11-14 02:00:00,PST,20.83,A
USGS,12451000,2021-11-14 02:15:00,PST,20.85,A
USGS,12451000,2021-11-14 02:30:00,PST,20.82,A
USGS,12451000,2021-11-14 02:45:00,PST,20.84,A
USGS,12451000,2021-11-14 03:00:00,PST,20.85,A
USGS,12451000,2021-11-14 03:15:00,PST,20.85,A
USGS,12451000,2021-11-14 03:30:00,PST,20.81,A
USGS,12451000,2021-11-14 03:45:00,PST,20.9,A
USGS,12451000,2021-11-14 04:00:00,PST,20.96,A
USGS,12451000,2021-11-14 04:15:00,PST,20.89,A
USGS,12451000,2021-11-14 04:30:00,PST,20.9,A
USGS,12451000,2021-11-14 04:45:00,PST,20.94,A
USGS,12451000,2021-11-14 05:00:00,PST,21.04,A
USGS,12451000,2021-11-14 05:15:00,PST,20.99,A
USGS,12451000,2021-11-14 05:30:00,PST,21.1,A
USGS,12451000,2021-11-14 05:45:00,PST,21.2,A
USGS,12451000,2021-11-14 06:00:00,PST,21.22,A
USGS,12451000,2021-11-14 06:15:00,PST,21.29,A
USGS,12451000,2021-11-14 06:30:00,PST,21.42,A
USGS,12451000,2021-11-14 06:45:00,PST,21.5,A
USGS,12451000,2021-11-14 07:00:00,PST,21.5,A
USGS,12451000,2021-11-14 07:15:00,PST,21.57,A
USGS,12451000,2021-11-14 07:30:00,PST,21.65,A
USGS,12451000,2021-11-14 07:45:00,PST,21.67,A
USGS,12451000,2021-11-14 08:00:00,PST,21.7,A
USGS,12451000,2021-11-14 08:15:00,PST,21.87,A
USGS,12451000,2021-11-14 08:30:00,PST,21.93,A
USGS,12451000,2021-11-14 08:45:00,PST,21.97,A
USGS,12451000,2021-11-14 09:00:00,PST,22.0,A
USGS,12451000,2021-11-14 09:15:00,PST,22.09,A
USGS,12451000,2021-11-14 09:30:00,PST,22.06,A
USGS,12451000,2021-11-14 09:45:00,PST,22.16,A
USGS,12451000,2021-11-14 10:00:00,PST,22.11,A
USGS,12451000,2021-11-14 10:15:00,PST,22.25,A
USGS,12451000,2021-11-14 10:30:00,PST,22.32,A
USGS,12451000,2021-11-14 10:45:00,PST,22.33,A
USGS,12451000,2021-11-14 11:00:00,PST,22.36,A
USGS,12451000,2021-11-14 11:15:00,PST,22.38,A
USGS,12451000,2021-11-14 11:30:00,PST,22.41,A
USGS,12451000,2021-11-14 11:45:00,PST,22.47,A
USGS,12451000,2021-11-14 12:00:00,PST,22.44,A
USGS,12451000,2021-11-14 12:15:00,PST,22.51,A
USGS,12451000,2021-11-14 12:30:00,PST,22.6,A
USGS,12451000,2021-11-14 12:45:00,PST,22.64,A
USGS,12451000,2021-11-14 13:00:00,PST,22.72,A
USGS,12451000,2021-11-14 13:15:00,PST,22.71,A
USGS,12451000,2021-11-14 13:30:00,PST,22.75,A
USGS,12451000,2021-11-14 13:45:00,PST,22.77,A
USGS,12451000,2021-11-14 14:00:00,PST,22.81,A
USGS,12451000,2021-11-14 14:15:00,PST,22.86,A
USGS,12451000,2021-11-14 14:30:00,PST,22.95,A
USGS,12451000,2021-11-14 14:45:00,PST,22.97,A
USGS,12451000,2021-11-14 15:00:00,PST,22.98,A
USGS,12451000,2021-11-14 15:15:00,PST,23.05,A
USGS,12451000,2021-11-14 15:30:00,PST,23.18,A
USGS,12451000,2021-11-14 15:45:00,PST,23.24,A
USGS,12451000,2021-11-14 16:00:00,PST,23.16,A
USGS,12451000,2021-11-14 16:15:00,PST,23.37,A
USGS,12451000,2021-11-14 16:30:00,PST,23.41,A
USGS,12451000,2021-11-14 16:45:00,PST,23.5,A
USGS,12451000,2021-11-14 17:00:00,PST,23.58,A
USGS,12451000,2021-11-14 17:15:00,PST,23.52,A
USGS,12451000,2021-11-14 17:30:00,PST,23.71,A
USGS,12451000,2021-11-14 17:45:00,PST,23.7,A
USGS,12451000,2021-11-14 18:00:00,PST,23.74,A
USGS,12451000,2021-11-14 18:15:00,PST,23.92,A
USGS,12451000,2021-11-14 18:30:00,PST,23.93,A
USGS,12451000,2021-11-14 18:45:00,PST,24.06,A
USGS,12451000,2021-11-14 19:00:00,PST,24.19,A
USGS,12451000,2021-11-14 19:15:00,PST,24.23,A
USGS,12451000,2021-11-14 19:30:00,PST,24.35,A
USGS,12451000,2021-11-14 19:45:00,PST,24.35,A
USGS,12451000,2021-11-14 20:00:00,PST,24.42,A
USGS,12451000,2021-11-14 20:15:00,PST,24.5,A
USGS,12451000,2021-11-14 20:30:00,PST,24.65,A
USGS,12451000,2021-11-14 20:45:00,PST,24.7,A
USGS,12451000,2021-11-14 21:00:00,PST,24.91,A
USGS,12451000,2021-11-14 21:15:00,PST,24.95,A
USGS,12451000,2021-11-14 21:30:00,PST,25.02,A
USGS,12451000,2021-11-14 21:45:00,PST,25.07,A
USGS,12451000,2021-11-14 22:00:00,PST,25.25,A
USGS,12451000,2021-11-14 22:15:00,PST,25.33,A
USGS,12451000,2021-11-14 22:30:00,PST,25.34,A
USGS,12451000,2021-11-14 22:45:00,PST,25.48,A
USGS,12451000,2021-11-14 23:00:00,PST,25.65,A
USGS,12451000,2021-11-14 23:15:00,PST,25.73,A
USGS,12451000,2021-11-14 23:30:00,PST,25.85,A
USGS,12451000,2021-11-14 23:45:00,PST,25.95,A
USGS,12451000,2021-11-15 00:00:00,PST,26.05,A
USGS,12451000,2021-11-15 00:15:00,PST,26.15,A
USGS,12451000,2021-11-15 00:30:00,PST,26.24,A
USGS,12451000,2021-11-15 00:45:00,PST,26.2,A
USGS,12451000,2021-11-15 01:00:00,PST,26.4,A
USGS,12451000,2021-11-15 01:15:00,PST,26.47,A
USGS,12451000,2021-11-15 01:30:00,PST,26.51,A
USGS,12451000,2021-11-15 01:45:00,PST,26.6,A
USGS,12451000,2021-11-15 02:00:00,PST,26.65,A
USGS,12451000,2021-11-15 02:15:00,PST,26.56,A
USGS,12451000,2021-11-15 02:30:00,PST,26.75,A
USGS,12451000,2021-11-15 02:45:00,PST,26.73,A
USGS,12451000,2021-11-15 03:00:00,PST,26.75,A
USGS,12451000,2021-11-15 03:15:00,PST,26.76,A
USGS,12451000,2021-11-15 03:30:00,PST,26.73,A
USGS,12451000,2021-11-15 03:45:00,PST,26.69,A
USGS,12451000,2021-11-15 04:00:00,PST,26.71,A
USGS,12451000,2021-11-15 04:15:00,PST,26.64,A
USGS,12451000,2021-11-15 04:30:00,PST,26.71,A
USGS,12451000,2021-11-15 04:45:00,PST,26.67,A
USGS,12451000,2021-11-15 05:00:00,PST,26.62,A
USGS,12451000,2021-11-15 05:15:00,PST,26.47,A
USGS,12451000,2021-11-15 05:30:00,PST,26.46,A
USGS,12451000,2021-11-15 05:45:00,PST,26.34,A
USGS,12451000,2021-11-15 06:00:00,PST,26.28,A
USGS,12451000,2021-11-15 06:15:00,PST,26.25,A
USGS,12451000,2021-11-15 06:30:00,PST,26.15,A
USGS,12451000,2021-11-15 06:45:00,PST,26.15,A
USGS,12451000,2021-11-15 07:00:00,PST,26.1,A
USGS,12451000,2021-11-15 07:15:00,PST,26.05,A
USGS,12451000,2021-11-15 07:30:00,PST,26.05,A
USGS,12451000,2021-11-15 07:45:00,PST,25.97,A
USGS,12451000,2021-11-15 08:00:00,PST,25.97,A
USGS,12451000,2021-11-15 08:15:00,PST,25.91,A
USGS,12451000,2021-11-15 08:30:00,PST,25.88,A
USGS,12451000,2021-11-15 08:45:00,PST,25.87,A
USGS,12451000,2021-11-15 09:00:00,PST,25.8,A
USGS,12451000,2021-11-15 09:15:00,PST,25.78,A
USGS,12451000,2021-11-15 09:30:00,PST,25.73,A
USGS,12451000,2021-11-15 09:45:00,PST,25.65,A
USGS,12451000,2021-11-15 10:00:00,PST,25.56,A
USGS,12451000,2021-11-15 10:15:00,PST,25.54,A
USGS,12451000,2021-11-15 10:30:00,PST,25.55,A
USGS,12451000,2021-11-15 10:45:00,PST,25.41,A
USGS,12451000,2021-11-15 11:00:00,PST,25.39,A
USGS,12451000,2021-11-15 11:15:00,PST,25.44,A
USGS,12451000,2021-11-15 11:30:00,PST,25.3,A
USGS,12451000,2021-11-15 11:45:00,PST,25.29,A
USGS,12451000,2021-11-15 12:00:00,PST,25.18,A
USGS,12451000,2021-11-15 12:15:00,PST,25.16,A
USGS,12451000,2021-11-15 12:30:00,PST,25.1,A
USGS,12451000,2021-11-15 12:45:00,PST,25.1,A
USGS,12451000,2021-11-15 13:00:00,PST,25.05,A
USGS,12451000,2021-11-15 13:15:00,PST,24.96,A
USGS,12451000,2021-11-15 13:30:00,PST,24.95,A
USGS,12451000,2021-11-15 13:45:00,PST,24.9,A
USGS,12451000,2021-11-15 14:00:00,PST,24.91,A
USGS,12451000,2021-11-15 14:15:00,PST,24.82,A
USGS,12451000,2021-11-15 14:30:00,PST,24.85,A
USGS,12451000,2021-11-15 14:45:00,PST,24.83,A
USGS,12451000,2021-11-15 15:00:00,PST,24.89,A
USGS,12451000,2021-11-15 15:15:00,PST,24.86,A
USGS,12451000,2021-11-15 15:30:00,PST,24.96,A
USGS,12451000,2021-11-15 15:45:00,PST,24.94,A
USGS,12451000,2021-11-15 16:00:00,PST,24.98,A
USGS,12451000,2021-11-15 16:15:00,PST,25.09,A
USGS,12451000,2021-11-15 16:30:00,PST,25.09,A
USGS,12451000,2021-11-15 16:45:00,PST,25.14,A
USGS,12451000,2021-11-15 17:00:00,PST,25.14,A
USGS,12451000,2021-11-15 17:15:00,PST,25.16,A
USGS,12451000,2021-11-15 17:30:00,PST,25.2,A
USGS,12451000,2021-11-15 17:45:00,PST,25.19,A
USGS,12451000,2021-11-15 18:00:00,PST,25.21,A
USGS,12451000,2021-11-15 18:15:00,PST,25.23,A
USGS,12451000,2021-11-15 18:30:00,PST,25.14,A
USGS,12451000,2021-11-15 18:45:00,PST,25.13,A
USGS,12451000,2021-11-15 19:00:00,PST,25.03,A
USGS,12451000,2021-11-15 19:15:00,PST,24.99,A
USGS,12451000,2021-11-15 19:30:00,PST,24.96,A
USGS,12451000,2021-11-15 19:45:00,PST,24.93,A
USGS,12451000,2021-11-15 20:00:00,PST,24.85,A
USGS,12451000,2021-11-15 20:15:00,PST,24.73,A
USGS,12451000,2021-11-15 20:30:00,PST,24.63,A
USGS,12451000,2021-11-15 20:45:00,PST,24.72,A
USGS,12451000,2021-11-15 21:00:00,PST,24.54,A
USGS,12451000,2021-11-15 21:15:00,PST,24.46,A
USGS,12451000,2021-11-15 21:30:00,PST,24.52,A
USGS,12451000,2021-11-15 21:45:00,PST,24.37,A
USGS,12451000,2021-11-15 22:00:00,PST,24.27,A
USGS,12451000,2021-11-15 22:15:00,PST,24.25,A
USGS,12451000,2021-11-15 22:30:00,PST,24.19,A
USGS,12451000,2021-11-15 22:45:00,PST,24.24,A
USGS,12451000,2021-11-15 23:00:00,PST,24.11,A
USGS,12451000,2021-11-15 23:15:00,PST,23.97,A
USGS,12451000,2021-11-15 23:30:00,PST,24.01,A
USGS,12451000,2021-11-15 23:45:00,PST,23.91,A
USGS,12451000,2021-11-16 00:00:00,PST,23.89,A
USGS,12451000,2021-11-16 00:15:00,PST,23.75,A
USGS,12451000,2021-11-16 00:30:00,PST,23.93,A
USGS,12451000,2021-11-16 00:45:00,PST,23.73,A
USGS,12451000,2021-11-16 01:00:00,PST,23.74,A
USGS,12451000,2021-11-16 01:15:00,PST,23.63,A
USGS,12451000,2021-11-16 01:30:00,PST,23.57,A
USGS,12451000,2021-11-16 01:45:00,PST,23.57,A
USGS,12451000,2021-11-16 02:00:00,PST,23.55,A
USGS,12451000,2021-11-16 02:15:00,PST,23.37,A
USGS,12451000,2021-11-16 02:30:00,PST,23.54,A
USGS,12451000,2021-11-16 02:45:00,PST,23.55,A
USGS,12451000,2021-11-16 03:00:00,PST,23.44,A
USGS,12451000,2021-11-16 03:15:00,PST,23.47,A
USGS,12451000,2021-11-16 03:30:00,PST,23.32,A
USGS,12451000,2021-11-16 03:45:00,PST,23.4,A
USGS,12451000,2021-11-16 04:00:00,PST,23.22,A
USGS,12451000,2021-11-16 04:15:00,PST,23.17,A
USGS,12451000,2021-11-16 04:30:00,PST,23.14,A
USGS,12451000,2021-11-16 04:45:00,PST,23.17,A
USGS,12451000,2021-11-16 05:00:00,PST,23.12,A
USGS,12451000,2021-11-16 05:15:00,PST,23.2,A
USGS,12451000,2021-11-16 05:30:00,PST,23.17,A
USGS,12451000,2021-11-16 05:45:00,PST,23.01,A
USGS,12451000,2021-11-16 06:00:00,PST,23.0,A
USGS,12451000,2021-11-16 06:15:00,PST,23.18,A
USGS,12451000,2021-11-16 06:30:00,PST,23.06,A
USGS,12451000,2021-11-16 06:45:00,PST,23.01,A
USGS,12451000,2021-11-16 07:00:00,PST,23.11,A
USGS,12451000,2021-11-16 07:15:00,PST,22.97,A
USGS,12451000,2021-11-16 07:30:00,PST,22.89,A
USGS,12451000,2021-11-16 07:45:00,PST,22.86,A
USGS,12451000,2021-11-16 08:00:00,PST,22.77,A
USGS,12451000,2021-11-16 08:15:00,PST,22.76,A
USGS,12451000,2021-11-16 08:30:00,PST,22.85,A
USGS,12451000,2021-11-16 08:45:00,PST,22.74,A
USGS,12451000,2021-11-16 09:00:00,PST,22.75,A
USGS,12451000,2021-11-16 09:15:00,PST,22.75,A
USGS,12451000,2021-11-16 09:30:00,PST,22.69,A
USGS,12451000,2021-11-16 09:45:00,PST,22.63,A
USGS,12451000,2021-11-16 10:00:00,PST,22.69,A
USGS,12451000,2021-11-16 10:15:00,PST,22.68,A
USGS,12451000,2021-11-16 10:30:00,PST,22.73,A
USGS,12451000,2021-11-16 10:45:00,PST,22.65,A
USGS,12451000,2021-11-16 11:00:00,PST,22.7,A
USGS,12451000,2021-11-16 11:15:00,PST,22.62,A
USGS,12451000,2021-11-16 11:30:00,PST,22.65,A
USGS,12451000,2021-11-16 11:45:00,PST,22.67,A
USGS,12451000,2021-11-16 12:00:00,PST,22.68,A
USGS,12451000,2021-11-16 12:15:00,PST,22.55,A
USGS,12451000,2021-11-16 12:30:00,PST,22.57,A
USGS,12451000,2021-11-16 12:45:00,PST,22.56,A
USGS,12451000,2021-11-16 13:00:00,PST,22.54,A
USGS,12451000,2021-11-16 13:15:00,PST,22.45,A
USGS,12451000,2021-11-16 13:30:00,PST,22.55,A
USGS,12451000,2021-11-16 13:45:00,PST,22.42,A
USGS,12451000,2021-11-16 14:00:00,PST,22.38,A
USGS,12451000,2021-11-16 14:15:00,PST,22.43,A
USGS,12451000,2021-11-16 14:30:00,PST,22.51,A
USGS,12451000,2021-11-16 14:45:00,PST,22.39,A
USGS,12451000,2021-11-16 15:00:00,PST,22.5,A
USGS,12451000,2021-11-16 15:15:00,PST,22.37,A
USGS,12451000,2021-11-16 15:30:00,PST,22.27,A
USGS,12451000,2021-11-16 15:45:00,PST,22.3,A
USGS,12451000,2021-11-16 16:00:00,PST,22.31,A
USGS,12451000,2021-11-16 16:15:00,PST,22.27,A
USGS,12451000,2021-11-16 16:30:00,PST,22.26,A
USGS,12451000,2021-11-16 16:45:00,PST,22.33,A
USGS,12451000,2021-11-16 17:00:00,PST,22.29,A
USGS,12451000,2021-11-16 17:15:00,PST,22.34,A
USGS,12451000,2021-11-16 17:30:00,PST,22.25,A
USGS,12451000,2021-11-16 17:45:00,PST,22.29,A
USGS,12451000,2021-11-16 18:00:00,PST,22.27,A
USGS,12451000,2021-11-16 18:15:00,PST,22.22,A
USGS,12451000,2021-11-16 18:30:00,PST,22.26,A
USGS,12451000,2021-11-16 18:45:00,PST,22.24,A
USGS,12451000,2021-11-16 19:00:00,PST,22.17,A
USGS,12451000,2021-11-16 19:15:00,PST,22.16,A
USGS,12451000,2021-11-16 19:30:00,PST,22.23,A
USGS,12451000,2021-11-16 19:45:00,PST,22.09,A
