agency_cd,site_no,datetime,tz_cd,stage_ft,151780_00065_cd
USGS,12451000,2021-11-12 00:00:00,PST,19.55,A
USGS,12451000,2021-11-12 00:15:00,PST,19.55,A
USGS,12451000,2021-11-12 00:30:00,PST,19.55,A
USGS,12451000,2021-11-12 00:45:00,PST,19.55,A
USGS,12451000,2021-11-12 01:00:00,PST,19.56,A
USGS,12451000,2021-11-12 01:15:00,PST,19.57,A
USGS,12451000,2021-11-12 01:30:00,PST,19.56,A
USGS,12451000,2021-11-12 01:45:00,PST,19.56,A
USGS,12451000,2021-11-12 02:00:00,PST,19.56,A
USGS,12451000,2021-11-12 02:15:00,PST,19.59,A
USGS,12451000,2021-11-12 02:30:00,PST,19.57,A
USGS,12451000,2021-11-12 02:45:00,PST,19.58,A
USGS,12451000,2021-11-12 03:00:00,PST,19.59,A
USGS,12451000,2021-11-12 03:15:00,PST,19.61,A
USGS,12451000,2021-11-12 03:30:00,PST,19.59,A
USGS,12451000,2021-11-12 03:45:00,PST,19.61,A
USGS,12451000,2021-11-12 04:00:00,PST,19.61,A
USGS,12451000,2021-11-12 04:15:00,PST,19.62,A
USGS,12451000,2021-11-12 04:30:00,PST,19.64,A
USGS,12451000,2021-11-12 04:45:00,PST,19.66,A
USGS,12451000,2021-11-12 05:00:00,PST,19.68,A
USGS,12451000,2021-11-12 05:15:00,PST,19.68,A
USGS,12451000,2021-11-12 05:30:00,PST,19.69,A
USGS,12451000,2021-11-12 05:45:00,PST,19.72,A
USGS,12451000,2021-11-12 06:00:00,PST,19.73,A
USGS,12451000,2021-11-12 06:15:00,PST,19.74,A
USGS,12451000,2021-11-12 06:30:00,PST,19.79,A
USGS,12451000,2021-11-12 06:45:00,PST,19.78,A
USGS,12451000,2021-11-12 07:00:00,PST,19.77,A
USGS,12451000,2021-11-12 07:15:00,PST,19.83,A
USGS,12451000,2021-11-12 07:30:00,PST,19.83,A
USGS,12451000,2021-11-12 07:45:00,PST,19.9,A
USGS,12451000,2021-11-12 08:00:00,PST,19.92,A
USGS,12451000,2021-11-12 08:15:00,PST,19.94,A
USGS,12451000,2021-11-12 08:30:00,PST,20.02,A
USGS,12451000,2021-11-12 08:45:00,PST,20.07,A
USGS,12451000,2021-11-12 09:00:00,PST,20.14,A
USGS,12451000,2021-11-12 09:15:00,PST,20.24,A
USGS,12451000,2021-11-12 09:30:00,PST,20.31,A
USGS,12451000,2021-11-12 09:45:00,PST,20.41,A
USGS,12451000,2021-11-12 10:00:00,PST,20.47,A
USGS,12451000,2021-11-12 10:15:00,PST,20.58,A
USGS,12451000,2021-11-12 10:30:00,PST,20.64,A
USGS,12451000,2021-11-12 10:45:00,PST,20.7,A
USGS,12451000,2021-11-12 11:00:00,PST,20.81,A
USGS,12451000,2021-11-12 11:15:00,PST,20.85,A
USGS,12451000,2021-11-12 11:30:00,PST,20.89,A
USGS,12451000,2021-11-12 11:45:00,PST,21.02,A
USGS,12451000,2021-11-12 12:00:00,PST,21.1,A
USGS,12451000,2021-11-12 12:15:00,PST,21.01,A
USGS,12451000,2021-11-12 12:30:00,PST,21.16,A
USGS,12451000,2021-11-12 12:45:00,PST,21.23,A
USGS,12451000,2021-11-12 13:00:00,PST,21.18,A
USGS,12451000,2021-11-12 13:15:00,PST,21.4,A
USGS,12451000,2021-11-12 13:30:00,PST,21.44,A
USGS,12451000,2021-11-12 13:45:00,PST,21.47,A
USGS,12451000,2021-11-12 14:00:00,PST,21.5,A
USGS,12451000,2021-11-12 14:15:00,PST,21.55,A
USGS,12451000,2021-11-12 14:30:00,PST,21.59,A
