agency_cd,site_no,datetime,tz_cd,discharge_cfs,151779_00060_cd
USGS,12451000,2021-11-12 00:00:00,PST,945,A
USGS,12451000,2021-11-12 00:15:00,PST,945,A
USGS,12451000,2021-11-12 00:30:00,PST,945,A
USGS,12451000,2021-11-12 00:45:00,PST,945,A
USGS,12451000,2021-11-12 01:00:00,PST,954,A
USGS,12451000,2021-11-12 01:15:00,PST,963,A
USGS,12451000,2021-11-12 01:30:00,PST,954,A
USGS,12451000,2021-11-12 01:45:00,PST,954,A
USGS,12451000,2021-11-12 02:00:00,PST,954,A
USGS,12451000,2021-11-12 02:15:00,PST,980,A
USGS,12451000,2021-11-12 02:30:00,PST,963,A
USGS,12451000,2021-11-12 02:45:00,PST,971,A
USGS,12451000,2021-11-12 03:00:00,PST,980,A
USGS,12451000,2021-11-12 03:15:00,PST,998,A
USGS,12451000,2021-11-12 03:30:00,PST,980,A
USGS,12451000,2021-11-12 03:45:00,PST,998,A
USGS,12451000,2021-11-12 04:00:00,PST,998,A
USGS,12451000,2021-11-12 04:15:00,PST,1010,A
USGS,12451000,2021-11-12 04:30:00,PST,1020,A
USGS,12451000,2021-11-12 04:45:00,PST,1040,A
USGS,12451000,2021-11-12 05:00:00,PST,1060,A
USGS,12451000,2021-11-12 05:15:00,PST,1060,A
USGS,12451000,2021-11-12 05:30:00,PST,1070,A
USGS,12451000,2021-11-12 05:45:00,PST,1100,A
USGS,12451000,2021-11-12 06:00:00,PST,1110,A
USGS,12451000,2021-11-12 06:15:00,PST,1120,A
USGS,12451000,2021-11-12 06:30:00,PST,1160,A
USGS,12451000,2021-11-12 06:45:00,PST,1150,A
USGS,12451000,2021-11-12 07:00:00,PST,1140,A
USGS,12451000,2021-11-12 07:15:00,PST,1200,A
USGS,12451000,2021-11-12 07:30:00,PST,1200,A
USGS,12451000,2021-11-12 07:45:00,PST,1270,A
USGS,12451000,2021-11-12 08:00:00,PST,1290,A
USGS,12451000,2021-11-12 08:15:00,PST,1310,A
USGS,12451000,2021-11-12 08:30:00,PST,1390,A
USGS,12451000,2021-11-12 08:45:00,PST,1460,A
USGS,12451000,2021-11-12 09:00:00,PST,1550,A
USGS,12451000,2021-11-12 09:15:00,PST,1680,A
USGS,12451000,2021-11-12 09:30:00,PST,1770,A
USGS,12451000,2021-11-12 09:45:00,PST,1910,A
USGS,12451000,2021-11-12 10:00:00,PST,2000,A
USGS,12451000,2021-11-12 10:15:00,PST,2160,A
USGS,12451000,2021-11-12 10:30:00,PST,2250,A
USGS,12451000,2021-11-12 10:45:00,PST,2340,A
USGS,12451000,2021-11-12 11:00:00,PST,2510,A
USGS,12451000,2021-11-12 11:15:00,PST,2580,A
USGS,12451000,2021-11-12 11:30:00,PST,2640,A
USGS,12451000,2021-11-12 11:45:00,PST,2860,A
USGS,12451000,2021-11-12 12:00:00,PST,3000,A
USGS,12451000,2021-11-12 12:15:00,PST,2840,A
USGS,12451000,2021-11-12 12:30:00,PST,3100,A
USGS,12451000,2021-11-12 12:45:00,PST,3220,A
USGS,12451000,2021-11-12 13:00:00,PST,3140,A
USGS,12451000,2021-11-12 13:15:00,PST,3530,A
USGS,12451000,2021-11-12 13:30:00,PST,3610,A
USGS,12451000,2021-11-12 13:45:00,PST,3660,A
USGS,12451000,2021-11-12 14:00:00,PST,3720,A
USGS,12451000,2021-11-12 14:15:00,PST,3820,A
